Temperature [celsius]
0
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
23.3
