t,Morif_obs
5,-1.51
10,-0.97
15,2.5
20,-0.22
25,1.29
30,0.54
35,0.24
40,0.50
45,0.45
50,-0.05
7238,-1.05
7243,0.64
7248,1.10
7253,1.73
7258,1.72
7263,2.04
7268,1.62
7273,2.13
7278,2.09
7283,1.65
