t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet1,Qhc,Qpipe,Qet2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
11,0.000400802,0.0,0.1259441352125166,0.0001282544466080566,0,0.0,0.0,0.0,0.0,0.0,0.1657454219687085,0.4,0,0,0.0,0.13107431307683887,0.4874865352020838,0.4,0.1,0.4,0.34,0.1
12,0.000400802,0.0,0.13674072497356368,0.00013088725597382273,0,0.0,0.0,0.0,0.0,0.0,0.17883414756609076,0.4,0,0,0.0,0.1419762152125166,0.5259827869590904,0.4,0.1,0.4,0.34,0.1
13,0.000400802,0.0,0.14743301967751907,0.0001334946324011156,0,0.0,0.0,0.0,0.0,0.0,0.1921836108062023,0.4,0,0,0.0,0.1527728049735637,0.5652459141358891,0.4,0.1,0.4,0.34,0.1
14,0.000400802,0.0,0.15802202681463423,0.00013607682157212086,0,5.119082767907181e-07,0.0,0.0,5.119082767907068e-07,0.0,0.2057401021357353,0.4,0,0,0.0,0.16346509967751907,0.6051179474580449,0.4,0.1,0.4,0.34,0.10005119082767908
15,0.000400802,0.0,0.16850874414280487,0.00013863406679573417,0,1.0725912678995573e-06,0.0,0.0,1.0725912678995196e-06,0.0,0.21949624968851872,0.4,0,0,0.0,0.17405410681463424,0.6455772049662315,0.4,0.1,0.4,0.34,0.10010725912678996
16,0.000400802,0.0,0.17889415978158538,0.00014116660903048736,0,2.1697777522844863e-06,0.0,0.0,2.169777752284441e-06,0.0,0.233395932816339,0.4,0,0,0.0,0.18454082414280487,0.6864586259304087,0.4,0.1,0.4,0.34,0.10021697777522845
17,0.000400802,0.0,0.18917925230529525,0.00014367468690725286,0,4.241905787566536e-06,0.0,0.0,4.241905787566586e-06,0.0,0.24733921092830763,0.4,0,0,0.0,0.19492623978158538,0.7274682674361989,0.4,0.1,0.4,0.34,0.10042419057875666
18,0.000400802,0.0,0.1993649908352261,0.00014615853675172878,0,8.00774070298214e-06,0.0,0.0,8.007740702982158e-06,0.0,0.26115429053318223,0.4,0,0,0.0,0.20521133230529526,0.7681008545093595,0.4,0.1,0.4,0.34,0.10080077407029822
19,0.000400802,0.0,0.20945233513095782,0.0001486183926067071,0,1.4548339596209806e-05,0.0,0.0,1.4548339596209825e-05,0.0,0.27456129583423194,0.4,0,0,0.0,0.2153970708352261,0.8075332230418586,0.4,0.1,0.4,0.34,0.10145483395962099
20,0.000400802,0.0,0.21944223568079277,0.00015105448625412629,0,2.5268348350044966e-05,0.0,0.0,2.5268348350045017e-05,0.0,0.28713990962464003,0.4,0,0,0.0,0.22548441513095782,0.8445291459548235,0.4,0.1,0.4,0.34,0.10252683483500451
21,0.000400802,0.0,0.22933563379131633,0.00015346704723691144,0,4.1516608215278875e-05,0.0,0.0,4.1516608215278895e-05,0.0,0.2983349535268033,0.4,0,0,0.0,0.23547431568079277,0.8774557456670684,0.4,0.1,0.4,0.34,0.1041516608215279
