t,Morif_obs
10,1.42
15,1.65
20,1.92
25,1.79
30,2.59
35,2.72
40,2.44
45,2.24
50,2.40
55,2.16
7235,0.31
7240,2.1
7245,2.71
7250,2.56
7255,3
7260,2.98
7265,2.67
7270,3.41
7275,3.26
7280,3.08
