t,Morif_obs
5,1
10,1
15,2419.6
20,4
25,124.6
30,24.3
35,13.2
40,26.6
45,25
50,8.3
55,0.0
7228,0.0
7233,1
7238,26.2
7243,65.7
7248,249.5
7253,227.9
7258,436
7263,173
7268,549.3
7273,648.8
7278,265.6
7283,0.0
