t,Morif_obs
5,0.031
10,0.106
15,320.194
20,0.6
25,19.521
30,3.483
35,1.76
40,3.147
45,2.833
50,0.885
55,0.0
7228,0.0
7233,0.089
7238,4.366
7243,12.702
7248,53.642
7253,52.569
7258,109.726
7263,41.808
7268,136.409
7273,122.407
7278,44.709
7283,0.0
