t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet_1,Qhc,Qpipe,Qet_2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
10,0.000400802,0.0,0.11633372185630947,0.00012000305870027471,0,0.0,0.0,0.0,0.0,0.0,0.11975300428738113,0.4,0,0,0.0,0.12113384420432045,0.34020739854369636,0.5,0.0,0.4,0.35200000000000004,0.0
11,0.000400802,0.0,0.12747887893956392,0.00012217307291863898,0,0.0,0.0,0.0,0.0,0.0,0.12952685012087226,0.4,0,0,0.0,0.13236580185630947,0.36797400602520525,0.5,0.0,0.4,0.35200000000000004,0.0
12,0.000400802,0.0,0.13853790624887896,0.00012432631726712372,0,0.0,0.0,0.0,0.0,0.0,0.13947295550224215,0.4,0,0,0.0,0.14351095893956392,0.3962299872222788,0.5,0.0,0.4,0.35200000000000004,0.0
13,0.000400802,0.0,0.14951146939514762,0.00012646292134328341,0,0.0,0.0,0.0,0.0,0.0,0.14958998920970484,0.4,0,0,0.0,0.15456998624887897,0.42497156025484323,0.5,0.0,0.4,0.35200000000000004,0.0
14,0.000400802,0.0,0.16040022884542193,0.00012858301374314251,0,0.0,0.0,0.0,0.0,0.0,0.15987663030915625,0.4,0,0,0.0,0.16554354939514762,0.4541949724691938,0.5,0.0,0.4,0.35200000000000004,0.0
15,0.000400802,0.0,0.17120483996266453,0.00013068672206893552,0,0.0,0.0,0.0,0.0,0.0,0.1703315680746711,0.4,0,0,0.0,0.17643230884542194,0.48389650021213376,0.5,0.0,0.4,0.35200000000000004,0.0
16,0.000400802,0.0,0.18192595304519307,0.00013277417293678677,0,0.0,0.0,0.0,0.0,0.0,0.18095350190961407,0.4,0,0,0.0,0.18723691996266453,0.5140724486068581,0.5,0.0,0.4,0.35200000000000004,0.0
17,0.000400802,0.0,0.19256421336581983,0.00013484549198433129,0,0.0,0.0,0.0,0.0,0.0,0.1917411412683606,0.4,0,0,0.0,0.19795803304519308,0.5447191513305698,0.5,0.0,0.4,0.35200000000000004,0.0
18,0.000400802,0.0,0.20312026121068877,0.00013690080387827638,0,0.0,0.0,0.0,0.0,0.0,0.2026932055786227,0.4,0,0,0.0,0.20859629336581983,0.5758329703938144,0.5,0.0,0.4,0.35200000000000004,0.0
19,0.000400802,0.0,0.21359473191781256,0.00013894023232190506,0,5.446413530753938e-07,0.0,0.0,5.446413530753937e-07,0.0,0.2137648528561291,0.4,0,0,0.0,0.21915234121068877,0.6072865137958212,0.5,1.0587911840678754e-20,0.4,0.35200000000000004,5.446413530753937e-05
20,0.000400802,0.0,0.2239882559153117,0.00014096390006252137,0,9.75528701223632e-07,0.0,0.0,9.75528701223632e-07,0.0,0.22496392256503292,0.4,0,0,0.0,0.22962681191781256,0.6391020527415707,0.5,1.0587911840678754e-20,0.4,0.35200000000000004,9.75528701223632e-05
21,0.000400802,0.0,0.23430145875935818,0.0001429719288988382,0,1.7091456921553564e-06,0.0,0.0,1.7091456921553562e-06,0.0,0.23626494522156755,0.4,0,0,0.0,0.24002033591531172,0.6712072307430895,0.5,3.176373552203626e-20,0.4,0.35200000000000004,0.00017091456921553564
22,0.000400802,0.0,0.24453496117182583,0.00014496443968830798,0,2.9309003144897187e-06,0.0,0.0,2.93090031448972e-06,0.0,0.24762762837147306,0.4,0,0,0.0,0.25033353875935815,0.7034875806007757,0.5,-9.529120656610879e-20,0.4,0.35200000000000004,0.0002930900314489719
23,0.000400802,0.0,0.25468937907764994,0.00014694155235439675,0,4.919281364752803e-06,0.0,0.0,4.919281364752802e-06,0.0,0.2589894100506446,0.4,0,0,0.0,0.26056704117182583,0.7357653694620584,0.5,7.411538288475128e-20,0.4,0.35200000000000004,0.0004919281364752802
24,0.000400802,0.0,0.26476532364189787,0.00014890338589380195,0,8.074611073135331e-06,0.0,0.0,8.074611073135331e-06,0.0,0.27025571203629795,0.4,0,0,0.0,0.27072145907764994,0.7677719091940282,0.5,7.411538288475128e-20,0.4,0.35200000000000004,0.000807461107313533
25,0.000400802,0.0,0.2747634013065533,0.00015085005838361465,0,1.2937440964282126e-05,0.0,0.0,1.2937440964282126e-05,0.0,0.28128872142984457,0.4,0,0,0.0,0.28079740364189787,0.7991156858802402,0.5,7.411538288475128e-20,0.4,0.35200000000000004,0.0012937440964282125
26,0.000400802,0.0,0.28468421382701625,0.00015278168698842608,0,2.0170344929753808e-05,0.0,0.0,2.017034492975381e-05,0.0,0.2918976287945384,0.4,0,0,0.0,0.2907954813065533,0.8292546272572112,0.5,-2.6469779601696886e-19,0.4,0.35200000000000004,0.0020170344929753806
27,0.000400802,0.0,0.2945283583083211,0.00015469838796737954,0,3.0459642506691393e-05,0.0,0.0,3.045964250669139e-05,0.0,0.3018367284313935,0.4,0,0,0.0,0.30071629382701626,0.8574907057710041,0.5,7.411538288475128e-20,0.4,0.35200000000000004,0.0030459642506691386
28,0.000400802,0.0,0.30429642724107436,0.00015660027668116763,0,4.429098663990754e-05,0.0,0.0,4.4290986639907535e-05,0.0,0.3108214716346943,0.4,0,0,0.0,0.3105604383083211,0.8830155444167451,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.004429098663990753
29,0.000400802,0.0,0.31398900853711537,0.00015848746759897556,0,6.160467220609645e-05,0.0,0.0,6.160467220609645e-05,0.0,0.3185720952661247,0.4,0,0,0.0,0.32032850724107437,0.9050343615514904,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.006160467220609645
